id,text
video3_1371,你還真會精打細算啊
video10_125,班長，你看，沒錯吧
video10_193,幹嘛，出公差很爽是不是
video2_85,前兩個禮拜的訓練都白費了
video5_370,今年來甄選的人
video11_1271,肉汁會一直持續的出來
video1_379,而且眼前望出去就是樹林了
video2_795,面對我成連組隊。
video12_33,我們這次特別研發了這個
video8_258,它好像賣相不是很好。
video7_886,錢難賺啦 孩子還小
video10_447,我相信他一定非常失望吧
video3_1194,葉大同，你是營站的小開。
video7_373,這幾家是有沒有這麼厲害 高雄人這麼愛
video7_805,這幾家是有沒有這麼厲害，高雄人這麼愛，就是它的皮一樣很薄。
video5_376,學長，剩沒有幾個單位了。
video3_788,你在投撲的時候會頓一下。
video12_937,將近一世紀超稀有雞湯切仔鷄
video10_345,我沒事，對不起。
video8_1008,它這個有一點像是那種蛋黃酥
video11_1309,越咬越會有豬腳本身
video7_291,你知道在高雄啊
video5_487,兩眼開開，準備投胎
video6_518,你們四個聽口令。
video3_1544,沒有人願意開第二次評議會哦
video11_418,所有香水的那種香氣
video8_742,然後是那種很舒服吃甜品冷熱皆宜的燒麻糬
video8_660,因為它夠厚是不是必比登入圍一定有它
video7_442,高雄人這麼愛我覺得這邊就是沒有這麼厲害
video5_309,好，再來我們來介紹
video9_126,還有每天手工現做的燒餅煎包
video9_157,一出站就來到這裡報到
video11_1335,台中霸氣旅行圈！吃爆超澎湃美食！
video8_789,
video11_552,對啊 你看我們家寶寶長大了
video4_813,爸爸帶你出去玩！花蓮找新鮮！ 我們去吃真的甜點吧
video12_1203,這算老闖私推的
video7_237,我剛剛偷喝了一口奶茶
video10_426,我是不曉得你哪來的自信
video12_991,你看一個切仔麵
video4_1509,美國人來這邊開就對了。
video10_252,防衛戰勝基礎
video4_1362,我去幫你洗褲子喔 你等我…
video4_1148,都跳出一大堆耶，真的假的？
video1_890,對不起，我無法提供字幕內容，因為這需要分析視頻內容並識別文本，這超出了我的能力範圍。
video9_560,這個住宅區裡面
video8_203,有點像是那一層肉膜
video10_998,她趕快把錢給我。
video9_704,而且稍微有一點點乳香的感覺
video11_367,手機拍爆！台中霸氣旅行團中老宅超視覺系甜點
video10_841,他們已經混進來了
video3_1440,就不會發生這麼多事了。
video8_177,所以吃起來完全不會柴！
video9_305,吃吃看真的不辣
video9_178,來去住一晚
video6_105,這次他做得太過分了。
video9_54,對不起不能錯過！
video10_1144,你以为我是因为你家有钱
video11_88,它是台中非常有名的一間火鍋店！
video6_449,便祕是我的專利
video1_221,你加一點它的酸菜在這！
video9_610,來去 住 一晚 宜蘭 营業時間：11:00-18:00 周四公休 就是他們超夢幻的千層蛋糕
video8_1040,
video12_347,正中我們三個人的喜好
video8_842,但是在你要喝酒什麼都可以一定有它
video5_1241,你現在如果回頭
video3_216,與他私人的感情有關
video7_729,來啦...你吃啦
video4_81,"Yum！來去史上最強親子民宿"
video1_730,聽說兩位肚子餓是吧 對啊
video11_92,對而且它火鍋是上面的料
video6_723,紙條是誰寫的了嗎
video9_867,收視率有沒有好就戳。
video1_842,下去就下去嘛 對不對
video6_813,覺得很有詩意、很羅曼蒂克
video2_1030,可是他喜歡的是男生耶
video1_1001,此生必住民宿這麼簡單
video4_121,對 有可能 它這邊可以互動喔
video4_574,爸爸带你出去玩来去花莲找新鲜！我也好希望我在这个咖啡馆
video7_1170,冬鄉老味拼盤就是這是我們自己手做的冷菜
video6_527,我要是看到誰再噴出來
video10_514,準備放假，繼續動作吧。
video1_916,來去住一晚 苗栗 梅干菜飯 感覺又不太一樣
video1_856,在這個被森林環抱的
video1_817,那我們這間叫什麼名字。
video10_969,他欠你的兩百萬
video12_858,然後再炒 大火炒的那種
video1_835,怎麼了太冷嗎……
video4_1018,那我盡量把它吃完 好不好
video4_1176,裡面就放一點洋葱切片對
video9_53,在地人一日三餐最愛小吃部傳承三代的好味道。
video4_869,那個東西媽媽說你不能吃
video6_333,你在成功領很有名啊。
video6_9,都是不懂要求入伍生的米蟲
video8_629,延三夜市必吃甜品 冷熱皆宜的燒麻糬 2023 必比登入圍 一定有它
video12_159,因為這個是原味嘛
video1_648,苗栗：此生必住民宿！
video4_1507,爸爸带你出去玩
video2_1471,他好像真的在生氣了
video8_1052,精緻經典台菜藏身老宅內唯美餐酒館
video9_541,再沾到他們這個
video8_1446,整個衝出來又不強烈
video10_1215,反正他有十根手指頭。
video4_1114,爸爸帶你出去玩新鮮！而且爸爸來那麼多次
video4_1344,這床好好睡喔。。
video1_560,這幾次跟彥均哥這樣子錄下來
video2_296,每天可以去營站
video1_921,苗栗 没你想的這麼簡單
video4_567,可是它的味道沒有說到太重
video3_179,搞什麼啊，淨講一些廢話
video1_1085,或者是辣度很高的那种對
video7_363,這幾家是有沒有這麼厲害 高雄人這麼愛 完全不一樣的感覺 對
video9_280,都有那種自然的甜味
video9_959,不僅能夠泡好湯
video10_453,我、大同還有賴虎
video10_1204,你們太沒有人性了
video9_1017,所看出去的景色啊
video6_695,我會在單槍場旁邊等你。
video3_1068,你當兵那麼久都不回家。
video7_635,這樣吃原味最好
video5_1298,常常工作到連飯都忘了吃耶。
video10_1221,怎麼了，想通了是不是
video1_433,這答里島式的感覺了
video7_1300,我來吃一下這個肉
video4_1207,來到花蓮一定要吃生魚片
video9_548,來去住一晚 宜蘭 芋頭100元 綿綿幺幺也是很多老饕的愛
video6_996,葉大同每天都會去福利社
video4_1484,你不能跟媽媽講
video1_1100,來去住一晚 苗栗 自製手工牛肉丸 180元 老闖都是丸子先煮好
video3_1075,人家的女朋友只能通電話
video9_1113,這裡的兒童樂園設施
video7_1068,你剛剛一下車你就說
video4_961,爸爸帶你出去花錢找新鮮！你們是來這邊幹嘛的？
video12_985,將近一世紀超稀有雞湯切仔鷄必比登推介
video12_129,有推薦我們來這裡必吃的嗎
video6_680,他的班兵說他吃不好、睡不著。
video5_514,一個一個親手招出來的
video12_378,我覺得是它裡面的餡料
video10_674,我都會在你身邊
video1_666,我們水龍頭我們剛自己弄好了
video10_916,坐...遙控...
video7_436,所以喜歡任何東西
video8_1449,強在說現在目前每一個都好猛
video6_173,待會兒有時間給你表現。
video5_197,為優先甄選人員
video12_728,先來一個極品牛肉湯
video1_1115,熬煮4個小時的紅燒湯底
video9_385,就是它而且它。。。
video3_1251,巧合，那還真巧
video2_1320,超越雙木欄的方法有三。
video2_291,來啦，我告訴你
video10_1043,你有要去哪裡嗎
video3_545,你現在當我是乞丐嗎
video4_740,這一包裡面有小朋友的牙刷
video6_1064,就是你加奶粉的比例
video7_1245,不要趕高鐵了吧
video4_1581,它是美式的泡菜
video12_1085,這寫在必比登裡面
video4_596,在花蓮這邊很多漂亮的民宿
video1_780,先不要說他們認識我。
video5_123,難道你不想吃哦
video6_1239,你們應該看得出來
video2_1347,自己適合的方式
video2_972,還會逗我開心耶
video9_169,可是它的韭菜卻很特别
video12_360,它虾哆的皮很薄耶
video5_747,而且還一副賢妻良母的臉
video3_1495,說起來還算是有情有義
video4_1005,爸爸帶你出去玩！來去花蓮找新鮮！我覺得爸爸你一起吃啦
video7_1263,這幾家是有沒有這麼厲害 高雄人這麼愛 你只要負責張開嘴巴就可以了
video2_948,报告连长，不是飘。
video9_360,因為他留了非常多
video11_633,配菜都看起來好吃。
video8_912,評審喜歡的感覺2023必比登入圍一定有它
video8_761,延三夜市必吃甜品 冷熱皆宜的燒麻糰
video4_512,他加了那種大粒的那個
video12_466,這個蚝仔酥也是第一名
video4_516,爸爸带你出去玩新鲜！
video9_1152,有你真好，彭均哥。
video7_1081,我覺得這一家咖啡廳沒有這麼厲害
video2_1160,這是你最榮耀的時刻
video7_261,揉餅牛肉揉餅嗎
video10_389,怎麼會變那麼嚴重
video9_311,緊緊附在店家特製的麵條上
video6_1106,這是不能說的祕密
video4_1622,來去住一晚 花蓮 芝加哥深盤比薩 卡彭盟主/675元 芝加哥的披薩 對
video3_1405,"又不是叫你們進來罰站的"
video7_1102,這幾家是有沒有這麼厲害
video8_572,延三夜市必吃甜品 冷熱皆宜的燒麻糕
video4_1446,他有做一個欄杆 對。
video6_1227,坐不起來就不要做了。
video11_248,碗粿的那個口感！
video1_668,但我們剛剛那個冷氣按一下
video1_1091,涮牛肉片的味道
video7_560,因為高雄很多的冰店就是對
video5_503,國防部還會幫你入祀忠烈祠
video10_633,他在跟我走同樣的路
video12_1315,都讓我們魂牵夢絲
video1_566,感性時刻 他也是時常會跟她視訊這樣子
video8_830,你看這種店這麼漂亮一定有它
video7_783,因為它還要風乾嘛 對...
