id,text
video3_1371,好的，你對盛典的回憶
video10_125,你起來幫我包一份吧
video10_193,這家店美麗的水龍頭
video2_85,我不懂你哪裡來的自信
video5_370,那晚餐非常好吃，真的
video11_1271,我們去了解一下自然美國的自信社區
video1_379,我剛才不敢問你們的問題了
video2_795,我不懂你哪裡來的自信
video12_33,因此不會像是肉的香味。
video8_258,它和那台膠囊咖啡機在這裡
video7_886,小矮人盯著他們的涼拌牛肚
video10_447,我讓你看看三十年後
video3_1194,我們當然也非常厲害
video7_373,它也有十根手指
video7_805,這裡的豬腸湯裡面有一些餡料
video5_376,我們當然也非常厲害
video3_788,以後大家都不願意開會評議
video12_937,加些酸菜會更美味
video10_345,我覺得在座的酸白菜很好
video8_1008,它也有十根手指
video11_1309,我覺得地瓜裡面有餡料
video7_291,你的蛋餅很甜和那個一樣
video5_487,這次準備後情感逆轉了
video6_518,你們這樣還算兄弟嗎
video3_1544,我讓你看看三十年後
video11_418,無論做什麼都要投保千萬以上
video8_742,你現在很高興。
video8_660,它也有十根手指
video7_442,我覺得地瓜裡面有餡料
video5_309,你表現得很好，我想問你一個問題。
video9_126,我們剛才去了0500點。
video9_157,你一直認為蔬菜的甜味比不上上個月
video11_1335,這裡已經接通了嗎
video8_789,你真會和大家一起吃啊
video11_552,我覺得地瓜裡面有餡料
video4_813,對他說了這麼多衝動的話
video12_1203,我們現在精打細算哦
video7_237,我們去了解不是回鍋肉的感受
video10_426,妳生氣是可以理解的
video12_991,我們一定要吃越南河粉
video4_1509,對他說了這麼多衝動的話
video10_252,我們以後會實現葉大同的目標
video4_1362,可是這麼多心態都白搭了。
video4_1148,我們三個都有皮的
video1_890,你們來台灣幹什麼
video9_560,要立即品嘗出香味
video8_203,這是升級版的精緻菜。
video10_998,我覺得地瓜裡面有餡料
video9_704,對，那是有名店的鍋燒意麵
video11_367,你們確定在聽指令的時候沒錯吧
video10_841,他存了很多骨頭湯
video3_1440,孩子把身體壓低了
video8_177,這裡的味道很驚人
video9_305,你真會和大家一起吃啊
video9_178,這裡的苗栗確實是螯蝦
video6_105,從嘴裡說出來的話
video9_54,你表現得很好，我想問你一個問題。
video10_1144,你們確定在聽指令的時候沒錯吧
video11_88,它也有十根手指
video6_449,要立即品嘗出香味
video1_221,你們來台灣幹什麼
video9_610,對他說的話說很驚人
video8_1040,就在這裡和彦均哥一起錄製
video12_347,你們來台灣幹什麼
video8_842,這個略過的莓果香味非常清新
video5_1241,你起來幫我包一份吧
video3_216,其實他們拿不到錢。
video7_729,因此吃下去之後
video4_81,你們確定在聽指令的時候沒錯吧
video1_730,這個枕頭有分軟硬哦
video11_92,我們吃的這種涮鍋味道不同。
video6_723,我覺得地瓜裡面有餡料
video9_867,不說話像是在吃魚肉。
video1_842,你們來台灣幹什麼。
video6_813,後面有許多不同的士官
video2_1030,它的滷汁很驚喜。
video1_1001,這個湯本來就很鹹
video4_121,我們一定要吃越南河粉
video4_574,這個雞骨有沙茶花生味
video7_1170,你現在很高興。
video6_527,在投擲場進行第二次投擲手榴彈。
video10_514,我覺得地瓜裡面有餡料
video1_916,為什麼爸爸沒來這裡
video1_856,就在這裡和彦均哥一起錄製
video1_817,這個很有代表性。
video10_969,你起來幫我包一份吧
video12_858,真的要用六種水果來準備
video1_835,因此不會像是肉的香味。
video4_1018,這個很有代表性
video4_1176,葉大同，結尾也很輕薄
video9_53,對吧，來把握時間吧
video4_869,這個地方真的不簡單
video6_333,你起來幫我包一份吧
video6_9,這家鋪天蓋地的油鵝店是台中肉質最嫩的雞肉店
video8_629,這是一種截然不同的感受
video12_159,我還不知道你的心情
video1_648,這家店美麗的水龍頭
video4_1507,這片景色真是極好
video2_1471,你們來台灣幹什麼
video8_1052,我覺得地瓜裡面有餡料
video9_541,這個地方真的不簡單
video8_1446,這裡的豬腸湯汁極為濃郁了。
video10_1215,他們的豆漿是鹹口味的
video4_1114,我覺得地瓜裡面有餡料
video4_1344,因此不會像是肉的香味。
video1_560,這個雞骨有沙茶花生味
video2_296,它也有十根手指
video1_921,要立即品嘗出香味
video4_567,叫你們去吃真正的胡蘿蔔
video3_179,好多次了，不然我就信了
video1_1085,參觀家具店的感覺真好
video7_363,我們一定要吃越南河粉
video9_280,我們現在精打細算哦
video9_959,這裡的氣味真是原始
video10_453,這是呈現西式餐前酒的巧思
video10_1204,媽媽以前沒有保護妳生氣
video9_1017,這個枕頭有分軟硬哦
video6_695,妳生氣是可以理解的
video3_1068,你說你吃了什麼肉
video7_635,這個醬油味道不錯
video5_1298,你起來幫我包一份吧
video10_1221,我們去了解不是回鍋肉的感受
video1_433,你的人也混進來了
video7_1300,它也有十根手指
video4_1207,我們三個都有皮的
video9_548,就在這裡和彦均哥一起錄製
video6_996,我覺得地瓜裡面有餡料
video4_1484,你們來台灣幹什麼
video1_1100,為什麼爸爸沒來這裡
video3_1075,其實他們拿不到錢。
video9_1113,這裡的動物能讓你加入忠烈祠
video7_1068,你真會和大家一起吃啊
video4_961,你們來台灣幹什麼
video12_985,就裡 7 份錄製這樣
video12_129,我覺得地瓜裡面有餡料
video6_680,這次留有咖啡的餘韻
video5_514,一個日本人喝著湯就好了
video12_378,這裡的餡料理念挺不錯
video10_674,我覺得在座的酸白菜很好
video1_666,你們來台灣幹什麼
video10_916,口感絲滑了一些。
video7_436,小矮人盯著他們的涼拌牛肚
video8_1449,你們確定在聽指令的時候沒錯吧
video6_173,要立即品嘗出香味
video5_197,我覺得地瓜裡面有餡料
video12_728,我們一定要吃越南河粉
video1_1115,他們要去了解人員的條件
video9_385,因此不會像是肉的香味。
video3_1251,快來試試這個泡牛奶的方法
video2_1320,這就是最原始的味道
video2_291,彥均哥，你真好
video10_1043,軍人應該堅持這樣的精神
video3_545,你真會和大家一起吃啊
video4_740,它們真的非常好吃，沒錯
video6_1064,你知道這是我第一次吃嗎
video7_1245,你們來台灣幹什麼
video4_1581,這裡的火鍋菜現切現燙
video12_1085,這應該是他的手，我會保留
video4_596,差點連累報到的連長
video1_780,希望以後你能理解。
video5_123,我們現在精打細算哦
video6_1239,這次留有咖啡的餘韻
video2_1347,它也有十根手指
video2_972,我們當然也非常厲害
video9_169,對呀，現在精打細算哦
video12_360,它也有十根手指
video5_747,非常精緻喔，那股香味
video3_1495,這次準備後情感逆轉了
video4_1005,我覺得地瓜裡面有餡料
video7_1263,你們來台灣幹什麼
video2_948,我們當然也非常厲害
video9_360,它也有十根手指
video11_633,這裡的麵條緊緊附著在店家的特製醬汁上
video8_912,這是你做的越南冷菜
video8_761,它的皮確實非常薄。
video4_512,他們要去了解人員的條件
video12_466,這種動物能讓你加入忠烈祠
video4_516,這個很有代表性
video9_1152,這家店美麗的水龍頭
video7_1081,我們三個都有皮的
video2_1160,我不懂你哪裡來的自信
video7_261,這裡的麵條緊緊附著在店家的特製醬汁上
video10_389,這次準備後情感逆轉了
video9_311,我們以後會實現葉大同的目標
video6_1106,它也有十根手指
video4_1622,他們的豆漿是697口感兒
video3_1405,你對這種動物的貢獻顯著提升
video7_1102,這個很有代表性
video8_572,對啊，他們真的什麼都失去
video4_1446,但這隻牛已經被取走了。
video6_1227,店家的檸檬氣泡咖啡特別調製
video11_248,你們來台灣幹什麼
video1_668,它也有十根手指
video1_1091,這種動物能讓你加入忠烈祠
video7_560,妳生氣是可以理解的
video5_503,其實他們拿不到錢。
video10_633,你起來幫我包一份吧
video12_1315,這裡的麵條緊緊附著在座的麵條
video1_566,你們來台灣幹什麼
video8_830,台南人咬三口再加牛奶
video7_783,不說話像是在吃魚肉。
video4_194,這個火鍋的各種脆口口感
video3_666,士官長，這是一種截然不同的感受
video3_263,我不懂你哪裡來的自信
video5_31,其實他們拿不到錢。
video8_1407,這湯頭的味道很香
video7_274,後面有許多不同的士官
video5_1250,我們就切一盤煙燻的好了
video11_199,它也有十根手指
video10_700,你聽說過燭光晚餐嗎
video7_346,你現在把我當作爸爸嗎
video1_953,我覺得地瓜裡面有餡料
video2_1364,那時候在場的長官
video6_93,之後逆轉這個不簡單的地方
video6_931,別再打電話了
video10_842,這家店美麗的水龍頭
video9_632,它的餡料如同家居賣場般
video2_211,我覺得地瓜裡面有餡料
video10_735,它的皮確實非常薄
video2_1005,要立即品嘗出香味
video1_555,這個很有代表性
video4_1505,你真會和大家一起吃啊
video11_1153,這湯頭的味道如何？
video6_1304,只要加點肉片就好
video6_1103,口感絲滑了一些
video4_1230,我們一定要吃越南河粉
video4_995,就在這裡和彦均哥一起錄製
video4_1178,我覺得地瓜裡面有餡料
video5_319,你起來幫我包一份吧
video5_141,你看這家店的價錢，真不錯
video2_300,這家店美麗的水龍頭
video8_618,你們來台灣幹什麼
video6_385,它的皮確實非常薄。
video11_739,它也有十根手指
video1_936,你對特戰部隊這麼有興趣
video2_1234,你真會和大家一起吃啊
video12_732,我們現在精打細算哦
video2_1090,它也有十根手指
video12_257,後面有許多不同的士官
video7_1355,你們來台灣幹什麼
video4_1242,這裡的氣味真是原始
video7_835,你看這家店的價錢，真不錯
video12_757,它的滷汁很驚喜
video4_367,為什麼爸爸沒來這裡
video8_448,我覺得地瓜裡面有餡料
video7_782,我們三個都有皮的。
video7_1333,切仔麵...這樣看起來很美味
video8_401,你們來台灣幹什麼
video11_575,這個很有代表性
video4_700,你現在很高興。
video1_799,它也有十根手指
video9_567,差點連累報到的連長
video7_409,真的耶，我們剛被攔住了
video10_731,看看對我們有什麼幫助
video12_662,你們來台灣幹什麼
video4_1568,你現在把我當作爸爸嗎
video3_1092,妳生氣是可以理解的
video1_949,我們三個都有皮的
video10_83,這是呈現西式餐前酒的巧思
