id	output	model_output	instruction
2930	3	 1:加強執行酒駕勤務 2:加強酒駕者的道安講習 3:籲請全民共同為陳明慧集氣，也重申酒駕零容忍的決心 4:籲請全民前往醫院探視	請根據以下輸入回答選擇題，並以數字回答:;說明:桃園市龜山分局大埔派出所警員涂毓修、陳明慧昨天(2號)凌晨追緝酒駕男子時不慎撞上路樹，受傷送醫，其中女警陳明慧至今生命跡象仍不穩定，內政部長葉俊榮在警政署長陳國恩等人陪同下，一早(3號)就前往林口長庚醫院探視，除了拜託院方全力搶救，籲請全民共同為陳明慧集氣，也重申酒駕零容忍的決心。記者劉碧薇報導------桃園市警察局龜山分局大埔派出所23歲警員涂毓修、31歲女警陳明慧，在追捕酒駕犯嫌中發生車禍，其中涂毓修左髖骨骨折，經開刀救治後狀況穩定，陳明慧則仍在昏迷中。內政部長葉俊榮3號上午特別前往林口長庚醫院探視------葉俊榮也呼籲社會理解警察的工作困難，不要讓警察同仁身陷複雜的值勤環境，針對酒駕問題他說，未來除了會加強酒駕者的道安講習，也希望有提供酒類的場所，能提供酒測器，透過民間和業者共同努力來避免酒駕情形，他說，目前最重要的是全力搶救陳明慧，對於遏止酒駕問題，不能把責任全丟給警察。陪同的警政署長陳國恩除了拜託院方全力搶救外，也重申執行酒駕勤務沒有止盡------;問題:請問內政部長提議如何預防酒駕？1:努力執行酒駕勤務,2:籲請全民共同為陳明慧集氣，也重申酒駕零容忍的決心。,3:加強酒駕者的道安講習,4:全民前往醫院探視
1230	2	 2	請根據以下輸入回答選擇題，並以數字回答:;說明:被動元件大廠國巨因有重大訊息待公布，經證交所同意22日暫停交易。市場人士揣測，可能又與收購案有關。;問題:國巨暫停交易可能與什麼有關?1:營運異常,2:收購案,3:休息一天,4:貿易戰
5117	3	 2:趙員外	請根據以下輸入回答選擇題，並以數字回答:;說明:眾僧退去，智深扔下桌腿，說：“長老，與洒家做主。”長老說：“五台山是文殊菩薩清修的道場，上次你打傷多人，我饒你一次，趙員外又修書賠禮。今天你又大鬧一場，打毀金剛，打塌半山亭，這個罪孽不小。這裡已容不得你。你且跟我去方丈過幾天，我安排你個去處。”;問題:請問長老要誰跟他去方丈？1:李忠,2:趙員外,3:智深,4:史進
8949	4	 年老的	請根據以下輸入回答選擇題，並以數字回答:;說明:天是那麼短，那麼冷，街上沒有多少人；這樣苦奔一天，未必就能掙上一頓飽飯；可是年老的，家裡還有老婆孩子；年小的，有父母弟妹！冬天，他們整個的是在地獄里，比鬼多了一口活氣，而沒有鬼那樣清閒自在；鬼沒有他們這麼多的吃累！象條狗似的死在街頭，是他們最大的平安自在；凍死鬼，據說，臉上有些笑容！;問題:請問誰的家裏還有老婆孩子？1:年小的,2:餓死鬼,3:狗,4:年老的
3425	3	 1	請根據以下輸入回答選擇題，並以數字回答:;說明:寶玉因見她外面罩著大紅羽緞對衿褂子，因問：「下雪了麼？」地下婆娘們道：「下了這半日雪珠兒了。」寶玉道：「取了我的斗篷來不曾？」黛玉便道：「是不是？我來了，她就該去了？」寶玉笑道：「我多早晚說要去了？不過是拿來預備著。」寶玉的奶母李嬤嬤因說道：「天又下雪，也好早晚的了，就在這裏同姐姐妹妹一處玩玩罷。姨媽那裏擺茶果子呢。我叫丫頭去取了斗篷來，說給小么兒們散了罷。」寶玉應允。李嬤嬤出去，命小廝們都各散去不提。;問題:請問根據此段文章，誰穿著大紅羽緞對衿褂子？1:寶玉,2:寶釵,3:黛玉,4:以上皆非
12568	4	 台鐵1258次通勤電車	請根據以下輸入回答選擇題，並以數字回答:;說明:林姓男子去年七月間在台鐵1258次通勤電車引爆爆裂物，造成自己及同車二十四位乘客輕重傷。警政署在案發十七小時內破案，今天特別發表警政署微電影1258，再次宣示警方全力捍衛人民安全的決心。記者王汝聰報導去年七月七日尼伯特颱風來襲前夕，台鐵1258次通勤電車在松山車站附近發生爆炸，消息傳出後震驚全國，一度以為發生恐怖攻擊。警政署長陳國恩在案發後第一時間就趕抵現場指揮偵辦，同時接受媒體採訪，讓國人安心~~刑事警察局與鐵路警察局立即組成專案小組，針對車廂內遺留背包及爆裂物外包裝進行鑑識，立即鎖定林姓嫌犯在案發前行蹤進行掌握比對，在確認林嫌的DNA與爆裂物膠帶上DNA相符，立即宣布破案消息，讓民眾不再陷於恐懼之中~~警政署表示，警察職司維護治安保護人民安全，即使治安狀況瞬息萬變，全體警察人員仍將全力以赴，讓人民安居樂業。;問題:本案發生爆炸的是哪一台車？1:台鐵18次通勤電車,2:台鐵125次通勤電車,3:台鐵258次通勤電車,4:台鐵1258次通勤電車
2257	4	 答案:1	請根據以下輸入回答選擇題，並以數字回答:;說明:毛利人是紐西蘭境內的原住民，屬於南島語族玻里尼西亞人。民族信仰數泛靈的多神信仰。有學者認為毛利民族及所有南島語族的發源地最北可以追溯到西太平洋的臺灣，這在語言及傳統建築上有明確的證據。現在毛利人總人口70多萬人，其中紐西蘭有62萬，澳洲有12.6萬，英國有8千人，美國和加拿大有5千左右。;問題:請問哪一國家的境內的毛利人口最少？1:紐西蘭,2:澳洲,3:英國,4:美國
9929	2	 1:191, 2:201, 3:211, 4:221	請根據以下輸入回答選擇題，並以數字回答:;說明:內政部警政署建置的反恐訓練中心今天正式啟用，下午揭牌後並首度結合維安特勤等單位模擬演練世大運遭暴徒攻擊，過程逼真緊湊，完美呈現精實訓練成果，也彰顯我國反恐工作邁入新紀元。 記者呂明宗報導 --tape 位在桃園新屋的警政署反恐訓練中心，歷經長達十多年籌備建置用，在內政部長葉俊榮、警政署長陳國恩等人揭牌下正式啟用。內政部長葉俊榮表示，這顯示我國反恐能量提升，並希望透過務實又紮實的訓練，確實做好反制恐怖攻擊準備，保障國人生命財產安全&mdash;tape 反恐中心建置有模擬城鎮、垂降訓練、人質營救攻堅和反恐戰鬥等訓練場，每天可容納191人次容訓量。包括警政署保一總隊、憲兵、海巡等單位特勤人員，模擬演練世大運遭暴徒攻擊、脅持人質&mdash;tape 在訓練有素特勤人員陸空夾擊下，恐怖攻擊事件順利落幕，展現我反恐精實能力&mdash;tape 內政部長葉俊榮也期許即將登場的台北世大運，維安能做到滴水不漏，並希望全民一同支持反恐。;問題:請問警政署反恐訓練中心每天可容納幾人次容訓量1:181,2:191,3:201,4:211
7346	4	 1	請根據以下輸入回答選擇題，並以數字回答:;說明:老殘道：「宮保愛才若渴，兄弟實在欽佩的。至於出來的原故，並不是肥遯鳴高的意思。一則深知自己才疏學淺，不稱揄揚；二則因這玉太尊聲望過大，到底看看是個何等人物。至『高尚』二字，兄弟不但不敢當，且亦不屑為。天地生才有數，若下愚蠢陋的人，高尚點也好借此藏拙；若真有點濟世之才，竟自遯世，豈不辜負天地生才之心嗎？」東造道：「屢聞至論，本極佩服，今日之說，則更五體投地。可見長沮、桀溺等人為孔子所不取的了。只是目下在補翁看來，我們這玉太尊究竟是何等樣人？」老殘道：「不過是下流的酷吏，又比郅都、甯戚等人次一等了。」東造連連點頭，又問道：「弟等耳目有所隔閡，先生布衣遊歷，必可得其實在情形。我想太尊殘忍如此，必多冤枉，何以竟無上控的案件呢？」老殘便將一路所聞細說一遍。;問題:請問東造為何要尋求老殘看法?1:單純好奇,2:老殘是他的耳目,3:沒有耳目,4:耳目有隔閡
11782	2	 問題:食藥署會針對什麼樣的疾病治療藥物，建立優先審查機制？1:近視,2:危及生命,3:體重過重,4:老花眼睛	請根據以下輸入回答選擇題，並以數字回答:;說明:食藥署統計105年國內共核准136件新藥申請案，以藥物適應症來看，核准比例最高的前三名分別是癌症、中樞神經疾病及血液疾病等治療藥物。記者馮馨儀報導        衛福部食藥署科長林意筑表示，105年核准的136件新藥申請案中，有8件是國產藥物，其餘128件是國外輸入的藥物，其中新成分新藥有44件、生物藥品29件，並以抗癌藥物核准比例最高，約15%，另外治療罕見疾病的藥物約占7%~TAPE近5年新藥核准案件數在104年達到高峰，共核准170件，105年則回歸常態值。食藥署表示，為確保國人用藥品質及安全，同時讓民眾及早取得與國際同步的創新藥品，食藥署針對會危及生命的疾病治療藥物建立優先審查機制，另外105年起也導入藥物模組批次審查機制，廠商如果某些文件或資料已經完備，就可以先送財團法人醫藥品查驗中心審查，藉此加快新藥審查速度。;問題:食藥署會針對什麼樣的疾病治療藥物，建立優先審查機制？1:近視,2:危及生命,3:體重過重,4:老花眼
